drug_id,l1_multi_hot
D00002,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
D00003,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
D00004,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
D00006,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
D00008,"[1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0]"
D00009,"[0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
D00010,"[0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0]"
D00011,"[0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
D00014,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
D00015,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
D00018,"[1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0]"
D00019,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
D00020,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0]"
D00023,"[0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
D00024,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
D00028,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
D00029,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
D00033,"[0, 0, 1, 1, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0]"
D00036,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
D00037,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
D00042,"[0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
D00043,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0]"
D00045,"[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
D00048,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
D00049,"[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
D00050,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
D00052,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
D00054,"[0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0]"
D00057,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0]"
D00058,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0]"
D00059,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0]"
D00060,"[0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
D00062,"[1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0]"
D00063,"[0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0]"
D00066,"[0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
D00067,"[0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
D00068,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
D00070,"[0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
D00073,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
D00074,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0]"
D00075,"[0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
D00076,"[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
D00079,"[0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
D00080,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0]"
D00081,"[0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
D00083,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
D00086,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
D00088,"[1, 0, 1, 1, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0]"
D00089,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0]"
D00094,"[0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0]"
D00095,"[1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0]"
D00096,"[1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
D00097,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0]"
D00098,"[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
D00101,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0]"
D00102,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0]"
D00104,"[0, 0, 0, 1, 1, 0, 1, 0, 0, 0, 0, 0, 1, 0]"
D00105,"[0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
D00106,"[0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
D00107,"[0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0]"
D00108,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
D00109,"[1, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0]"
D00110,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 1, 0]"
D00111,"[0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
D00112,"[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
D00113,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0]"
D00114,"[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
D00118,"[0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0]"
D00120,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0]"
D00122,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
D00124,"[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0]"
D00125,"[0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0]"
D00126,"[0, 0, 1, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0]"
D00127,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0]"
D00129,"[1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
D00130,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0]"
D00131,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0]"
D00132,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0]"
D00133,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0]"
D00134,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0]"
D00135,"[0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0]"
D00136,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0]"
D00137,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
D00138,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0]"
D00139,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
D00140,"[0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0]"
D00141,"[0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0]"
D00142,"[0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0]"
D00144,"[0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0]"
D00145,"[0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0]"
D00147,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
D00148,"[0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
D00151,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0]"
D00152,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
D00155,"[0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0]"
D00156,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
D00157,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
D00158,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0]"
D00160,"[0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
D00161,"[0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0]"
