drug_id,drug_name
D00001,"Water; Purified water; Purified water in containers; Water, purified; Sterile purified water in containers; Water for injection; Water for injection in containers; Sterile water"
D00002,Nadide; Nicotinamide adenine dinucleotide
D00003,Oxygen
D00004,Carbon dioxide; Carbon dioxide
D00005,Flavin adenine dinucleotide; Adeflavin
D00006,Pyridoxal phosphate hydrate; Pyridoxal phosphate monohydrate; Hipyridoxin
D00007,Glutamic acid; L-Glutamic acid
D00008,Hydrogen peroxide; Oxydol; Oxyfull
D00009,Glucose; Purified glucose; D-Glucose
D00010,"Acetic acid, glacial; Acetic acid; Glacial acetic acid; Acetasol"
D00011,Glycine
D00012,Alanine; L-Alanine
D00013,Aspartic acid; L-Aspartic acid
D00014,Glutathione; Glutathione; Tathion
D00015,Glutamine; L-Glutamine; Levoglutamide; Endari; Nutrestore
D00016,Serine; L-Serine
D00017,Formaldehyde; Formalin
D00018,Ascorbic acid; Ascoltin; Ascorbicap; ASCOR
D00019,Methionine; L-Methionine; L-Methionine Z
D00020,Tryptophan; L-Tryptophan
D00021,Phenylalanine; L-Phenylalanine
D00022,Tyrosine; L-Tyrosine
D00023,Urea; Carbamide; Pastaron
D00024,"Sulfur, precipitated; Sulfur, sublimed; Sulfur; Bensulfoid; Sastid"
D00025,"Sucrose; White soft sugar; Sugar, compressible; Sugar, confectioner's; Sugar spheres; Sucrose, purified; Sucrose"
D00026,L-Cysteine; Ecolan
D00027,Uracil
D00028,"Glycerin; Concentrated glycerin; Glycerin, concentrated; Glycerol"
D00029,Biotin; Bioepiderm
D00030,Leucine; L-Leucine
D00031,Oxiglutatione; Glutathione
D00032,Histidine; L-Histidine
D00033,"Phenol; Liquefied phenol; Phenol for disinfection; Phenol, liquefied; Paoscle; Phenol; Liquefied phenol; Phenol for disinfection"
D00034,Adenine; Leucon
D00035,Proline; L-Proline
D00036,Niacinamide; Nicotinamide
D00037,"Citric acid, anhydrous; Anhydrous citric acid; Citric acid anhydrous"
D00038,Benzoic acid; Benzoic acid
D00039,Valine; L-Valine
D00040,Cholesterol; Cholesterol
D00041,Threonine; L-Threonine
D00042,Cobamamide; Calomide
D00043,Isoflurophate; Fluostigmine; Floropryl
D00044,Maltose; Madoros
D00045,Adenosine; Adenocard; Adenoscan
D00046,"Anhydrous lactose; Lactose, anhydrous; Lactose"
D00047,Taurine; Aminoethylsulfonic acid; Taurine
D00048,Thioctic acid amide; Lipoamide
D00049,Niacin; Nicotinic acid; Niacor; Niaspan
D00050,Riboflavin; Bisulase
D00051,Androstenedione
D00052,Edetic acid; EDTA; Versene acid
D00054,Inosine; Inotin
D00055,Orotic acid
D00056,"Trypsin, crystallized; Trypsin; Parenzyme"
D00057,Citicoline; Nicholin
D00058,gamma-Aminobutyric acid; Gammalon
D00059,Levodopa; Dopar
D00060,Dextran 1; Dextran
D00061,Xylitol; Klinit
D00062,Mannitol; D-Mannitol; Osmitrol; Tobrex; Bronchitol
D00063,Tobramycin; Tobi; Tobracin; Tobrex; Bethkis
D00064,l-Menthol; Levomenthol; l-Menthol
D00065,Isoleucine; L-Isoleucine
D00066,Progesterone; Crinone; Prometrium
D00067,Estrone; Estrone
D00068,Alcohol; Anhydrous ethanol; Dehydrated ethanol; Ethyl alcohol; Dehydrated ethanol
D00069,Vitamin A oil; Chocola A
D00070,Folic acid; Folicet
D00071,Fibronectin
D00072,Cytochrome c; Cytorest
D00073,Hydroquinone; Eldoquin
D00074,Nitric oxide; INOmax
D00075,Testosterone; Androderm; Androgel; Axiron; Striant; Testim
D00076,Noradrenaline; Norepinephrine; Nor adrenalin
D00077,Benzyl alcohol; Ulesfia
D00078,Propylene glycol; Propylene glycol
D00079,Dinoprostone; Cervidil; Prepidil; Prostin E2
D00080,Chondroitin sulfate A
D00081,Dinoprost; Prosmon
D00082,Pyridoxamine phosphate; Pyridoxamine phosphate dihydrate
D00083,Nitrogen; Nitrogen
D00084,Dextrin
D00085,Insulin
D00086,Thioctic acid; Thiotomin
D00087,Ubenimex; Bestatin
D00088,Hydrocortisone; HC; Acticort; Anusol HC; Colocort; Cortef; Hytone; Plenadren
D00089,Oxytocin; Oxytocin; Pitocin; Syntocinon
D00090,Thrombin; Factor IIa; Thrombostat
D00091,Vanillin
D00092,Coptis rhizome; Powdered coptis rhizome; Coptis rhizome
D00093,"Microcrystalline cellulose; Cellulose, microcrystalline; Powdered cellulose; Avicel PH"
D00094,Tretinoin; Avita; Renova; Retin A; Tretinoin
D00095,Epinephrine; Adrenaline; Adrenalin; Auvi-q; Epipen
D00096,Sorbitol solution; D-Sorbitol; Sorbitol; Sorbitol 3% in plastic container
D00097,Salicylic acid; Salicylic acid
D00098,Camphor; dl-Camphor
D00099,Cetanol; Cetyl alcohol; Cetanol
D00100,Menatetrenone; Vitamin K2
D00101,Vasopressin; Pitressin; Vasostrict
D00102,Nitrous oxide; Nitrous oxide
D00103,Tartaric acid; Tartaric acid
D00104,Chloramphenicol; Amphicol; Chloromycetin; Econochlor
D00105,Estradiol; Climara; Divigel; Estrace; Estraderm; Estrasorb; Estring; Estrogel; Innofem; Vagifem; Vivelle
D00106,Epoprostenol; Prostaglandin I2; Prostacyclin; Epoprostenol
D00107,Tacrolimus; Tacrolimus hydrate; Prograf; Protopic
D00108,Iodine; Cadex
D00109,Aspirin; Aspalon; Acetylsalicylic acid; Easprin; Durlaza
D00110,Cocaine; Cocaine
D00111,Lactic acid; Lactate
D00112,G-Strophanthin; Ouabain octahydrate
D00113,Atropine; Atropen
D00114,Fructose; D-Fructose; Fructon
D00115,Gelatin; Gelfilm
D00116,Glucagon; Glucagon; Glucagon
D00117,Guaiacol; Creodon
D00118,Naproxen; Naprosyn
D00119,Stearic acid; Stearic acid
D00120,Sulindac; Clinoril
D00121,Allantoin
D00122,Calcifediol; Calcifediol monohydrate; Calderol; Rayaldee
D00123,Cyanamide; Cyanamide
D00124,Ephedrine; Ephedrine
D00125,Etoposide; Vepesid
D00126,Ibuprofen; Advil; Motrin
D00127,Piroxicam; Feldene
D00128,Bacitracin; Baciim; Bacitracin
D00129,Calcitriol; Rocaltrol
